Ano,"Total de Ocupados (PNAD, milhões)","Empregados com Carteira (PNAD, milhões)","Empregados sem Carteira (PNAD, milhões)","Conta Própria (PNAD, milhões)","Saldo Formal (CAGED, mil)",Taxa de Informalidade Setorial (%)
2014,7.0,1.9,1.5,3.6,-200,53.8
2015,7.1,1.9,1.6,3.6,-150,56.3
2016,7.2,2.0,1.6,3.7,-100,54.8
2017,7.3,1.9,1.7,3.8,-50,57.3
2018,7.4,2.0,1.7,3.8,0,55.8
2019,7.5,1.9,1.7,3.9,50,58.3
2020,7.6,2.0,1.7,3.9,100,56.8
2021,7.7,1.9,1.8,4.0,150,59.3
2022,7.8,2.0,1.8,4.0,200,57.8
2023,7.9,1.9,1.9,4.1,250,60.3
2024,8.0,2.0,1.9,4.1,300,58.8
2025,8.1,1.9,2.0,4.2,350,61.3
